iter	RMSE
0	6131419.446
1	5827086.102
2	5550493.022
3	5309521.828
4	5090179.7
5	4900300.338
6	4715427.569
7	4541321.496
8	4394186.405
9	4243123.513
10	4117548.292
11	3989242.706
12	3875272.313
13	3769289.917
14	3681250.34
15	3600795.976
16	3506439.824
17	3427882.811
18	3367271.182
19	3308849.484
20	3247440.572
21	3187580.355
22	3133964.308
23	3078567.136
24	3022840.472
25	2987265.95
26	2951417.178
27	2908343.724
28	2863986.933
29	2839554.882
30	2806612.235
31	2765198.379
32	2745534.187
33	2712663.634
34	2694997.68
35	2663095.126
36	2632829.736
37	2611030.004
38	2587313.908
39	2569682.668
40	2547836.348
41	2529750.146
42	2514287.621
43	2503761.401
44	2486526.683
45	2471297.805
46	2452592.149
47	2435080.864
48	2424972.222
49	2403950.053
50	2384764.874
51	2370484.941
52	2357721.056
53	2349412.839
54	2337339.706
55	2330717.945
56	2314675.312
57	2300959.112
58	2293733.206
59	2279673.138
60	2269788.184
61	2265669.757
62	2252525.349
63	2241682.638
64	2233729.284
65	2226932.408
66	2215909.72
67	2209638.586
68	2192261.845
69	2186324.861
70	2176054.502
71	2165900.888
72	2156187.337
73	2150185.184
74	2144781.289
75	2135337.038
76	2126598.123
77	2117691.638
78	2112617.118
79	2102794.726
80	2098437.737
81	2083196.548
82	2072875.165
83	2064766.946
84	2058470.463
85	2053574.03
86	2044679.269
87	2037106.028
88	2033034.679
89	2026913.155
90	2022898.071
91	2015018.658
92	2002287.185
93	1998148.275
94	1989725.206
95	1984154.483
96	1973727.074
97	1969102.817
98	1961547.393
99	1955126.126
100	1947693.908
101	1937164.073
102	1929204.616
103	1918604.773
104	1912437.961
105	1899348.327
106	1890969.15
107	1885933.902
108	1882593.311
109	1875267.981
110	1871928.557
111	1865590.012
112	1859722.126
113	1855187.995
114	1848060.717
115	1844963.588
116	1841862.777
117	1835951.924
118	1830024.303
119	1825662.543
120	1818598.385
121	1811933.645
122	1806344.529
123	1797474.021
124	1792111.241
125	1785844.085
126	1777778.981
127	1775788.757
128	1768845.151
129	1762165.835
130	1752722.535
131	1749556.263
132	1740953.342
133	1735556.706
134	1733799.456
135	1729076.599
136	1722412.014
137	1718687.601
138	1716462.969
139	1713932.995
140	1706697.563
141	1703806.566
142	1701574.769
143	1696787.746
144	1694664.084
145	1692934.377
146	1687424.921
