iter	Passed	Remaining
0	3	1726
1	6	1641
2	9	1644
3	13	1612
4	15	1561
5	18	1538
6	21	1519
7	24	1505
8	27	1497
9	30	1503
10	33	1502
11	37	1509
12	40	1512
13	43	1513
14	46	1510
15	50	1515
16	53	1510
17	56	1501
18	59	1495
19	61	1484
20	64	1478
21	67	1473
22	70	1466
23	73	1463
24	76	1461
25	80	1460
26	83	1457
27	86	1454
28	89	1449
29	91	1440
30	94	1435
31	98	1434
32	100	1428
33	104	1426
34	107	1422
35	110	1420
36	113	1419
37	116	1414
38	119	1413
39	122	1409
40	125	1406
41	128	1403
42	131	1398
43	134	1393
44	137	1391
45	140	1389
46	144	1389
47	147	1386
48	150	1381
49	153	1377
50	156	1373
51	158	1369
52	161	1364
53	164	1362
54	168	1359
55	170	1354
56	174	1352
57	177	1350
58	180	1345
59	183	1342
60	185	1338
61	188	1334
62	191	1331
63	194	1326
64	197	1323
65	200	1318
66	203	1316
67	206	1313
68	209	1311
69	212	1306
70	215	1303
71	218	1301
72	221	1296
73	224	1295
74	227	1290
75	230	1288
76	234	1287
77	237	1283
78	240	1279
79	243	1277
80	246	1273
81	249	1271
82	252	1267
83	255	1263
84	257	1259
85	260	1254
86	264	1254
87	267	1252
88	270	1248
89	273	1245
90	276	1242
91	279	1238
92	282	1234
93	284	1230
94	287	1227
95	290	1223
96	293	1220
97	296	1216
98	299	1214
99	302	1211
100	306	1209
101	309	1206
102	312	1204
103	315	1201
104	318	1196
105	320	1192
106	324	1190
107	327	1189
108	330	1185
109	333	1183
110	337	1181
111	340	1179
112	343	1177
113	346	1173
114	349	1170
115	352	1165
116	354	1162
117	357	1158
118	360	1155
119	363	1151
120	366	1147
121	369	1145
122	373	1144
123	376	1140
124	379	1137
125	382	1134
126	385	1131
127	388	1127
128	390	1123
129	393	1120
130	396	1116
131	399	1113
132	402	1110
133	405	1107
134	408	1104
135	411	1100
136	414	1098
137	417	1096
138	420	1091
139	423	1087
140	426	1084
141	428	1081
142	431	1078
143	435	1075
144	438	1073
145	441	1069
146	444	1066
147	447	1063
148	449	1059
149	452	1056
150	455	1052
151	457	1048
152	460	1044
153	463	1041
154	466	1038
155	469	1035
156	472	1032
157	475	1029
158	478	1026
159	481	1024
160	484	1020
161	487	1017
162	491	1015
163	494	1013
164	497	1010
165	501	1008
166	504	1005
167	507	1003
168	511	1000
169	513	997
170	516	994
171	519	991
172	522	988
173	525	985
174	529	982
175	532	979
176	535	976
177	538	973
178	541	970
179	544	967
180	547	964
181	549	960
182	553	958
183	555	954
184	558	951
185	561	948
186	565	945
187	568	943
188	571	940
189	574	937
190	577	934
191	581	932
192	584	929
193	587	926
194	590	922
195	593	919
196	596	917
197	599	914
198	602	910
199	605	907
200	608	904
201	611	902
202	614	899
